,data,count
256,"('성', '_')",256
257,"('당', '_')",257
258,"('드릴', '게요_')",258
259,"('보', '다_')",259
260,"('사', '용_')",260
261,"('락', '_')",261
262,"('찾', '_')",262
263,"('길', '_')",263
264,"('전', '화_')",264
265,"('알', '려_')",265
266,"('표', '_')",266
267,"('예', '요_')",267
268,"('줄', '_')",268
269,"('선', '_')",269
270,"('긴', '_')",270
271,"('때', '문_')",271
272,"('경', '_')",272
273,"('내', '일_')",273
274,"('편', '_')",274
275,"('기', '다')",275
276,"('근', '_')",276
277,"('격', '_')",277
278,"('청', '_')",278
279,"('셔', '야_')",279
280,"('군', '요_')",280
281,"('아', '직_')",281
282,"('카', '드_')",282
283,"('증', '_')",283
284,"('모', '르_')",284
285,"('인', '가요_')",285
286,"('하', '나_')",286
287,"('준', '비_')",287
288,"('속', '_')",288
289,"('상', '품_')",289
290,"('보', '내_')",290
291,"('걸', '_')",291
292,"('발', '_')",292
293,"('그러', '면_')",293
294,"('셔', '서_')",294
295,"('류', '_')",295
296,"('생', '_')",296
297,"('라', '서_')",297
298,"('역', '_')",298
299,"('객', '_')",299
300,"('감', '사_')",300
301,"('이', '용_')",301
302,"('음', '식_')",302
303,"('재', '_')",303
304,"('는', '데요_')",304
305,"('앞', '_')",305
306,"('관', '_')",306
307,"('미', '_')",307
308,"('찍', '_')",308
309,"('항', '_')",309
310,"('결', '제_')",310
311,"('에', '요_')",311
312,"('험', '_')",312
313,"('렸', '_')",313
314,"('께', '_')",314
315,"('될', '_')",315
316,"('심', '_')",316
317,"('봐', '_')",317
318,"('갈', '_')",318
319,"('연', '락_')",319
320,"('따', '로_')",320
321,"('될', '까요_')",321
322,"('그', '러_')",322
323,"('호', '_')",323
324,"('문', '제_')",324
325,"('년', '_')",325
326,"('왜', '_')",326
327,"('회', '의_')",327
328,"('남', '_')",328
329,"('다', '는_')",329
330,"('그렇', '게_')",330
331,"('크', '_')",331
332,"('력', '_')",332
333,"('층', '_')",333
334,"('그런', '_')",334
335,"('언', '제_')",335
336,"('그래', '도_')",336
337,"('부', '탁')",337
338,"('한', '데_')",338
339,"('자', '리_')",339
340,"('고', '객_')",340
341,"('든', '_')",341
342,"('온', '_')",342
343,"('가', '격_')",343
344,"('유', '_')",344
345,"('어', '제_')",345
346,"('본', '_')",346
347,"('할', '인_')",347
348,"('날', '_')",348
349,"('처', '_')",349
350,"('가', '져')",350
351,"('급', '_')",351
352,"('교', '_')",352
353,"('팀', '_')",353
354,"('추', '가_')",354
355,"('대', '로_')",355
356,"('배', '송_')",356
357,"('석', '_')",357
358,"('나', '오_')",358
359,"('배', '_')",359
360,"('가', '지_')",360
361,"('출', '_')",361
362,"('고', '요_')",362
363,"('!', '_')",363
364,"('통', '_')",364
365,"('렇', '게_')",365
366,"('요', '일_')",366
367,"('진', '행_')",367
368,"('뭐', '_')",368
369,"('냥', '_')",369
370,"('사', '이')",370
371,"('법', '_')",371
372,"('회', '_')",372
373,"('그', '냥_')",373
374,"('습', '니까_')",374
375,"('봤', '_')",375
376,"('즈', '_')",376
377,"('이', '렇게_')",377
378,"('친', '구_')",378
379,"('착', '_')",379
380,"('서', '요_')",380
381,"('워', '_')",381
382,"('아', '니')",382
383,"('짜', '_')",383
384,"('량', '_')",384
385,"('여', '행_')",385
386,"('이', '나_')",386
387,"('가', '장_')",387
388,"('처', '음_')",388
389,"('권', '_')",389
390,"('에', '게_')",390
391,"('연', '_')",391
392,"('천', '_')",392
393,"('난', '_')",393
394,"('응', '_')",394
395,"('피', '_')",395
396,"('보', '이_')",396
397,"('드릴', '_')",397
398,"('공', '_')",398
399,"('부탁', '_')",399
400,"('세', '_')",400
401,"('사', '진_')",401
402,"('으', '시_')",402
403,"('립', '니다_')",403
404,"('영', '_')",404
405,"('직', '원_')",405
406,"('이', '랑_')",406
407,"('들어', '가_')",407
408,"('한', '테_')",408
409,"('슨', '_')",409
410,"('환', '불_')",410
411,"('부', '분_')",411
412,"('던', '데_')",412
413,"('외', '_')",413
414,"('침', '_')",414
415,"('름', '_')",415
416,"('얼', '마')",416
417,"('늦', '_')",417
418,"('얼마', '나_')",418
419,"('도', '착_')",419
420,"('울', '_')",420
421,"('다', '가_')",421
422,"('학', '교_')",422
423,"('무', '슨_')",423
424,"('액', '_')",424
425,"('질', '_')",425
426,"('폰', '_')",426
427,"('계', '_')",427
428,"('지', '하')",428
429,"('빨', '리_')",429
430,"('시', '작_')",430
431,"('먼', '저_')",431
432,"('텔', '_')",432
433,"('얼', '마_')",433
434,"('맛', '있_')",434
435,"('지하', '철')",435
436,"('쓰', '_')",436
437,"('호', '텔_')",437
438,"('출', '장_')",438
439,"('예', '정_')",439
440,"('드', '립니다_')",440
441,"('포', '장_')",441
442,"('접', '_')",442
443,"('변', '경_')",443
444,"('넣', '_')",444
445,"('옷', '_')",445
446,"('운', '동_')",446
447,"('메', '뉴')",447
448,"('도', '와_')",448
449,"('살', '_')",449
450,"('환', '_')",450
451,"('다', '니_')",451
452,"('면', '서_')",452
453,"('나', '가_')",453
454,"('루', '_')",454
455,"('즘', '_')",455
456,"('월', '_')",456
457,"('대', '한_')",457
458,"('꼭', '_')",458
459,"('려', '면_')",459
460,"('이', '상_')",460
461,"('요', '즘_')",461
462,"('으', '신_')",462
463,"('걱', '정_')",463
464,"('할', '게요_')",464
465,"('취', '소_')",465
466,"('저', '녁')",466
467,"('감', '_')",467
468,"('새', '_')",468
469,"('함', '_')",469
470,"('아', '무')",470
471,"('큰', '_')",471
472,"('이', '미_')",472
473,"('라', '도_')",473
474,"('번', '호_')",474
475,"('방', '법_')",475
476,"('됐', '_')",476
477,"('저녁', '_')",477
478,"('릴', '_')",478
479,"('하', '지만_')",479
480,"('해', '도_')",480
481,"('볼', '_')",481
482,"('모', '두_')",482
483,"('그런', '데_')",483
484,"('술', '_')",484
485,"('화', '장')",485
486,"('한', '가요_')",486
487,"('동', '안_')",487
488,"('힘', '들_')",488
489,"('족', '_')",489
490,"('올', '_')",490
491,"('어', '야_')",491
492,"('저', '번_')",492
493,"('일', '단_')",493
494,"('련', '_')",494
495,"('추', '천_')",495
496,"('아', '닌')",496
497,"('사이', '즈_')",497
498,"('잠', '시_')",498
499,"('였', '_')",499
500,"('잖', '아_')",500
501,"('머', '리_')",501
502,"('드릴', '까요_')",502
503,"('메뉴', '_')",503
504,"('갔', '_')",504
505,"('으', '니까_')",505
506,"('물', '건_')",506
507,"('아', '이_')",507
508,"('공', '항_')",508
509,"('와', '서_')",509
510,"('작', '성_')",510
511,"('저', '기_')",511
512,"('교', '환_')",512
513,"('런', '_')",513
514,"('경', '우_')",514
515,"('인', '지_')",515
516,"('택', '시_')",516
517,"('지하철', '_')",517
518,"('뒤', '_')",518
519,"('맛', '_')",519
520,"('아니', '요_')",520
521,"('써', '_')",521
522,"('일', '정_')",522
523,"('신', '청_')",523
524,"('위', '_')",524
525,"('함', '께_')",525
526,"('거', '기_')",526
527,"('은', '데요_')",527
528,"('미', '리_')",528
529,"('계', '속_')",529
530,"('반', '_')",530
531,"('드', '려')",531
532,"('매', '장_')",532
533,"('어', '려')",533
534,"('처', '리_')",534
535,"('느', '_')",535
536,"('별', '_')",536
537,"('아', '침_')",537
538,"('영', '화_')",538
539,"('자', '기_')",539
540,"('이', '제_')",540
541,"('기다', '려_')",541
542,"('금', '액_')",542
543,"('선', '물_')",543
544,"('새', '로_')",544
545,"('어', '느_')",545
546,"('프', '_')",546
547,"('보', '여_')",547
548,"('제', '일_')",548
549,"('식', '당_')",549
550,"('양', '_')",550
551,"('프', '로')",551
552,"('졌', '_')",552
553,"('계', '산_')",553
554,"('책', '_')",554
555,"('라', '면_')",555
556,"('놓', '_')",556
