,token,index
311,이메일_,311
312,수수료_,312
313,니다만_,313
314,아서요_,314
315,노트북_,315
316,어려울_,316
317,이벤트_,317
318,어차피_,318
319,걸어가_,319
320,그대로_,320
321,라서요_,321
322,가져가_,322
323,재미있_,323
324,브랜드_,324
325,합니까_,325
326,던데요_,326
327,박물관_,327
328,그래요_,328
329,위해서_,329
330,마세요_,330
331,확실히_,331
332,도서관_,332
333,정확히_,333
334,수요일_,334
335,백화점_,335
336,천천히_,336
337,찾아보_,337
338,좋아하_,338
339,내려가_,339
340,십시오_,340
341,한다는_,341
342,오랜만_,342
343,체크인_,343
344,햄버거_,344
345,월요일_,345
346,돌아가_,346
347,어린이_,347
348,카메라_,348
349,어울리_,349
350,그런지_,350
351,다녀오_,351
352,들어간_,352
353,인데요_,353
354,아닌데_,354
355,해서요_,355
356,어때요_,356
357,디저트_,357
358,마사지_,358
359,에어컨_,359
360,테이블_,360
361,나와서_,361
362,마무리_,362
363,회의실_,363
364,포인트_,364
365,특별히_,365
366,대부분_,366
367,충분히_,367
368,드려도_,368
369,고마워_,369
370,가져오_,370
371,그러게_,371
372,샐러드_,372
373,분위기_,373
374,연예인_,374
375,지난주_,375
376,시스템_,376
377,나머지_,377
378,아버지_,378
379,케이크_,379
380,실래요_,380
381,몰라서_,381
382,아마도_,382
383,휴대폰_,383
384,콘서트_,384
385,토요일_,385
386,수영장_,386
387,아파서_,387
388,수화물_,388
389,아니야_,389
390,주차장_,390
391,연락처_,391
392,원피스_,392
393,분명히_,393
394,소비자_,394
395,신다고_,395
396,대학교_,396
397,어려운_,397
398,했으니_,398
399,자동차_,399
400,메뉴판_,400
401,일어나_,401
402,텐데요_,402
403,겁니까_,403
404,탈의실_,404
405,니까요_,405
406,음료수_,406
407,편의점_,407
408,티셔츠_,408
409,신다면_,409
410,합시다_,410
411,계산대_,411
412,드려야_,412
413,립스틱_,413
414,무조건_,414
415,을게요_,415
416,온다고_,416
417,한다면_,417
418,오히려_,418
419,생겨서_,419
420,자세히_,420
421,완전히_,421
422,파스타_,422
423,파란색_,423
424,빨간색_,424
425,가이드_,425
426,이미지_,426
427,배터리_,427
428,들어갈_,428
429,봅시다_,429
430,자전거_,430
431,어머니_,431
432,더라도_,432
433,다던데_,433
434,외국인_,434
435,옵니다_,435
436,갈아타_,436
437,화요일_,437
438,여행자_,438
439,맞춰서_,439
440,강아지_,440
441,내려서_,441
442,주인공_,442
443,목적지_,443
444,데이트_,444
445,갑니다_,445
446,목요일_,446
447,도대체_,447
448,보세요_,448
449,돌아오_,449
450,자마자_,450
451,따라서_,451
452,정거장_,452
453,꾸준히_,453
454,안타깝_,454
455,졸업식_,455
456,으셔도_,456
457,미용실_,457
458,들어왔_,458
459,터미널_,459
460,지나가_,460
461,올게요_,461
462,미술관_,462
463,보호자_,463
464,가셔야_,464
465,차라리_,465
466,으셔야_,466
467,기내식_,467
468,바빠서_,468
469,바이트_,469
470,드디어_,470
471,더군요_,471
472,들어온_,472
473,봅니다_,473
474,레이터_,474
475,뭔가요_,475
476,는가요_,476
477,판매대_,477
478,보여서_,478
479,노란색_,479
480,일요일_,480
481,수하물_,481
482,가져왔_,482
483,찾아가_,483
484,으셔서_,484
485,는다고_,485
486,기념품_,486
487,려는데_,487
488,다행히_,488
489,했잖아_,489
490,모니터_,490
491,릅니다_,491
492,바구니_,492
493,어려워_,493
494,아메리카,494
495,중국어_,495
496,음식점_,496
497,스러운_,497
498,소고기_,498
499,다는데_,499
500,떨어지_,500
501,간다고_,501
502,그동안_,502
503,아닐까_,503
504,해야지_,504
505,항공사_,505
506,장난감_,506
507,그런가_,507
508,드세요_,508
509,지원자_,509
510,알아봐_,510
511,통해서_,511
512,는군요_,512
513,걸어서_,513
514,됩니까_,514
515,반대편_,515
516,된다면_,516
517,냉장고_,517
518,분실물_,518
519,쇼핑몰_,519
520,볼까요_,520
521,적어도_,521
522,사은품_,522
523,분홍색_,523
524,일부러_,524
525,나눠서_,525
526,린다고_,526
527,준다고_,527
528,환전소_,528
529,이걸로_,529
530,더워서_,530
531,면허증_,531
532,신용장_,532
533,정해진_,533
534,는구나_,534
535,야겠다_,535
536,선풍기_,536
537,아이스_,537
538,해산물_,538
539,계세요_,539
540,반드시_,540
541,검은색_,541
542,제주도_,542
543,던가요_,543
544,아무것_,544
545,갈게요_,545
546,아이돌_,546
547,차가운_,547
548,내려야_,548
549,증명서_,549
550,바이어_,550
551,으면서_,551
552,답니다_,552
553,베트남_,553
554,아파요_,554
555,메시지_,555
556,이따가_,556
557,렌터카_,557
558,떡볶이_,558
559,한국어_,559
560,초콜릿_,560
561,들어올_,561
562,서부터_,562
563,전시회_,563
564,다고요_,564
565,움직이_,565
566,달라서_,566
567,오렌지_,567
568,실제로_,568
569,매니저_,569
570,게이트_,570
571,한데요_,571
572,데이터_,572
573,이어폰_,573
574,떨어졌_,574
575,뜨거운_,575
576,키보드_,576
577,어울릴_,577
578,된다는_,578
579,등록증_,579
580,여전히_,580
581,둘러보_,581
582,데이션_,582
583,진통제_,583
584,정해져_,584
585,는지요_,585
586,그걸로_,586
587,건데요_,587
588,들어갔_,588
